 VARIABLE = X , Y , U , V
 ZONE , I=         101 , J=         101
   9.99999978E-03  0.939999998      -1.2570876961646991E-003   5.6313861173403999E-003
   9.99999978E-03  0.949999988      -1.1928473636718994E-003   7.7899884619809980E-003
   9.99999978E-03  0.959999979      -2.3135664476794061E-003   1.0668090851592683E-002
   9.99999978E-03  0.970000029      -3.0268261778554528E-003   1.3117984060144115E-002
   9.99999978E-03  0.980000019      -1.1709735814694566E-002   2.5077667109320662E-002
   9.99999978E-03  0.990000010      -8.7157908879890739E-003   2.7887288363725303E-002
   9.99999978E-03   1.00000000       8.7223474506151269E-002   3.2381791066539986E-009
   1.99999996E-02   0.00000000      -1.1813063796395283E-006   2.2629376690255049E-009
   1.99999996E-02   9.99999978E-03   1.9422215427672000E-005  -1.1934538597628168E-005
   1.99999996E-02   1.99999996E-02   4.3475202838182421E-005  -4.3579018139490023E-005
   1.99999996E-02   2.99999993E-02   6.0988143913495730E-005  -9.0134286297529007E-005
   1.99999996E-02   3.99999991E-02   7.0117176400106375E-005  -1.4661606747485090E-004
   1.99999996E-02   5.00000007E-02   7.2062287177393440E-005  -2.0708697456128724E-004
   1.99999996E-02   5.99999987E-02   6.8410147352028071E-005  -2.6604253637131653E-004
   1.99999996E-02   7.00000003E-02   6.0092621026556731E-005  -3.1889946602950810E-004
   1.99999996E-02   7.99999982E-02   4.7594365675163244E-005  -3.6149652373456748E-004
   1.99999996E-02   9.00000036E-02   3.1257965145583776E-005  -3.9027770850640672E-004
   1.99999996E-02  0.100000001       1.1182833692707853E-005  -4.0155696522900248E-004
   1.99999996E-02  0.109999999      -1.2470694791522378E-005  -3.9213554057874919E-004
   1.99999996E-02  0.119999997      -3.9636194338340150E-005  -3.5872284597185822E-004
   1.99999996E-02  0.129999995      -7.0222198800608550E-005  -2.9834077476246460E-004
   1.99999996E-02  0.140000001      -1.0398570643377437E-004  -2.0819811112337991E-004
   1.99999996E-02  0.150000006      -1.4069026919952932E-004  -8.5648988284318467E-005
   1.99999996E-02  0.159999996      -1.8011928812501038E-004   7.1558694518733331E-005
   1.99999996E-02  0.170000002      -2.2160036960332431E-004   2.6529913158605020E-004
   1.99999996E-02  0.180000007      -2.6474777582405188E-004   4.9701214607295215E-004
   1.99999996E-02  0.189999998      -3.0883097339452401E-004   7.6756310894869552E-004
   1.99999996E-02  0.200000003      -3.5325920759527726E-004   1.0772750020494966E-003
   1.99999996E-02  0.209999993      -3.9723585680179907E-004   1.4258656159133493E-003
   1.99999996E-02  0.219999999      -4.4007949638414832E-004   1.8124256754077357E-003
   1.99999996E-02  0.230000004      -4.8083244717038351E-004   2.2353117853848503E-003
   1.99999996E-02  0.239999995      -5.1893252538909816E-004   2.6924630862099302E-003
   1.99999996E-02  0.250000000      -5.5356285096213220E-004   3.1810128062787204E-003
   1.99999996E-02  0.259999990      -5.8408336273265066E-004   3.6976520555087192E-003
   1.99999996E-02  0.270000011      -6.0993786782859735E-004   4.2386539943298981E-003
   1.99999996E-02  0.280000001      -6.3056154152873003E-004   4.7996783478130465E-003
   1.99999996E-02  0.289999992      -6.4568286220880052E-004   5.3764185872532859E-003
   1.99999996E-02  0.300000012      -6.5486234877430781E-004   5.9638364330289444E-003
   1.99999996E-02  0.310000002      -6.5799657404170967E-004   6.5571318612600831E-003
   1.99999996E-02  0.319999993      -6.5500327121758629E-004   7.1509979762759326E-003
   1.99999996E-02  0.330000013      -6.4587888483690005E-004   7.7405784028697338E-003
   1.99999996E-02  0.340000004      -6.3080930024362366E-004   8.3207186961859695E-003
   1.99999996E-02  0.349999994      -6.0999129841133573E-004   8.8864638188340100E-003
   1.99999996E-02  0.360000014      -5.8375325450145778E-004   9.4332419113781815E-003
   1.99999996E-02  0.370000005      -5.5251568484853807E-004   9.9565361441708456E-003
   1.99999996E-02  0.379999995      -5.1651281228350110E-004   1.0452138847235662E-002
   1.99999996E-02  0.389999986      -4.7643676080708059E-004   1.0916325898186894E-002
   1.99999996E-02  0.400000006      -4.3265314692218592E-004   1.1345685279150166E-002
   1.99999996E-02  0.409999996      -3.8583400940140554E-004   1.1736973443908155E-002
   1.99999996E-02  0.419999987      -3.3639354479456253E-004   1.2087645425311547E-002
   1.99999996E-02  0.430000007      -2.8495093825228843E-004   1.2395493402709942E-002
   1.99999996E-02  0.439999998      -2.3205696685009664E-004   1.2658895708579932E-002
   1.99999996E-02  0.449999988      -1.7821095499094363E-004   1.2876096184450757E-002
   1.99999996E-02  0.460000008      -1.2397699796220385E-004   1.3046448666168177E-002
   1.99999996E-02  0.469999999      -6.9790204648286050E-005   1.3169347032229351E-002
   1.99999996E-02  0.479999989      -1.6161119344479381E-005   1.3244605205049472E-002
   1.99999996E-02  0.490000010       3.6441178107934284E-005   1.3272561227782476E-002
   1.99999996E-02  0.500000000       8.7683413794103780E-005   1.3253604347385772E-002
   1.99999996E-02  0.509999990       1.3702492719534182E-004   1.3188999748353763E-002
   1.99999996E-02  0.519999981       1.8428137742460159E-004   1.3079823215502728E-002
   1.99999996E-02  0.529999971       2.2901185998355883E-004   1.2927853862587001E-002
   1.99999996E-02  0.540000021       2.7098868060833721E-004   1.2734792668437637E-002
   1.99999996E-02  0.550000012       3.0994372115167339E-004   1.2502917190225902E-002
   1.99999996E-02  0.560000002       3.4568840138996372E-004   1.2234661269430899E-002
   1.99999996E-02  0.569999993       3.7807302727322197E-004   1.1932643199886095E-002
   1.99999996E-02  0.579999983       4.0677190159991202E-004   1.1599620680259491E-002
   1.99999996E-02  0.589999974       4.3184498668767988E-004   1.1238753764776770E-002
   1.99999996E-02  0.600000024       4.5311293290751131E-004   1.0853023208719283E-002
   1.99999996E-02  0.610000014       4.7052247960512321E-004   1.0445808407820403E-002
   1.99999996E-02  0.620000005       4.8415801384186743E-004   1.0020472609181113E-002
   1.99999996E-02  0.629999995       4.9401970594492833E-004   9.5804899786685674E-003
   1.99999996E-02  0.639999986       5.0011467650125428E-004   9.1291539262661411E-003
   1.99999996E-02  0.649999976       5.0255630989350574E-004   8.6699954229996282E-003
   1.99999996E-02  0.660000026       5.0139905899472710E-004   8.2063579601798029E-003
   1.99999996E-02  0.670000017       4.9693054139838806E-004   7.7417098329143489E-003
   1.99999996E-02  0.680000007       4.8928780754367769E-004   7.2792237489829725E-003
   1.99999996E-02  0.689999998       4.7860022703573513E-004   6.8217747657236634E-003
   1.99999996E-02  0.699999988       4.6516859809949909E-004   6.3727144449017975E-003
   1.99999996E-02  0.709999979       4.4920859990416827E-004   5.9345856792487181E-003
   1.99999996E-02  0.720000029       4.3091191646072195E-004   5.5099466728400597E-003
   1.99999996E-02  0.730000019       4.1055412056969397E-004   5.1013707485408717E-003
   1.99999996E-02  0.740000010       3.8832862271805866E-004   4.7108803091460176E-003
   1.99999996E-02  0.750000000       3.6448356550459251E-004   4.3406820780915725E-003
   1.99999996E-02  0.759999990       3.3897687777459157E-004   3.9925306092009416E-003
   1.99999996E-02  0.769999981       3.1207836102875992E-004   3.6683325739394115E-003
   1.99999996E-02  0.779999971       2.8359904749042218E-004   3.3698741081520265E-003
   1.99999996E-02  0.790000021       2.5347125305231002E-004   3.0990340547579344E-003
   1.99999996E-02  0.800000012       2.2118050580646355E-004   2.8580382546536018E-003
   1.99999996E-02  0.810000002       1.8615884716088844E-004   2.6493881069498252E-003
   1.99999996E-02  0.819999993       1.4718456243942464E-004   2.4766496642780493E-003
   1.99999996E-02  0.829999983       1.0247945462409001E-004   2.3444457247870933E-003
   1.99999996E-02  0.839999974       4.9499362172907653E-005   2.2593675183999419E-003
   1.99999996E-02  0.850000024      -1.5505119933015892E-005   2.2305159766471180E-003
   1.99999996E-02  0.860000014      -9.7835711769096137E-005   2.2706127288787607E-003
   1.99999996E-02  0.870000005      -2.0445920127952808E-004   2.3974437479606322E-003
   1.99999996E-02  0.879999995      -3.4602980675052736E-004   2.6345961094444716E-003
   1.99999996E-02  0.889999986      -5.3583101183590776E-004   3.0155555732591282E-003
   1.99999996E-02  0.899999976      -7.8889240159039800E-004   3.5812291255215411E-003
   1.99999996E-02  0.910000026      -1.1365296634383505E-003   4.3844403579512007E-003
   1.99999996E-02  0.920000017      -1.6025673284902730E-003   5.5140024859850721E-003
   1.99999996E-02  0.930000007      -2.2903401467069930E-003   7.0243096870512825E-003
   1.99999996E-02  0.939999998      -3.2327721121579722E-003   9.0754633321142274E-003
   1.99999996E-02  0.949999988      -3.7826428940694909E-003   1.1482965280633849E-002
   1.99999996E-02  0.959999979      -5.0707690592597995E-003   1.4126731663175317E-002
   1.99999996E-02  0.970000029      -9.7669165041276724E-003   2.0489719718150310E-002
   1.99999996E-02  0.980000019      -1.6666714550381150E-002   2.2994484153358568E-002
   1.99999996E-02  0.990000010       1.1354137194385680E-002   1.0899510254543150E-002
   1.99999996E-02   1.00000000      0.10070158005027020        2.1826197458614863E-009
   2.99999993E-02   0.00000000      -7.0513370162561281E-007   6.7448687884076445E-010
